=== Log session started 2026-08-22 14:36:22.497197 ===
[14:38:17] [LOG] [GameLog] Script loading...
[14:38:17] [LOG] [GameLog] ⚡ bootGame executing...
[14:38:17] [LOG] [GameLog] ✅ game.init() finished successfully!
[15:00:29] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:31] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:31] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:33] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:34] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:36] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:37] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:40] [LOG] [GameLog] 🎯 Tap: <SPAN id="">
[15:00:41] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:46] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:47] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:00:49] [LOG] [GameLog] 🎯 Tap: <SPAN id="">
[15:00:53] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-shot-btn">
[15:00:53] [LOG] [GameLog] 📷 截圖已上傳
[15:10:27] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:10:29] [LOG] [GameLog] 🎮 startGame triggered!
[15:10:29] [LOG] [GameLog] 📱 Button touchend: #start-btn
[15:10:29] [LOG] [GameLog] 🔊 Sound initialized
[15:10:29] [LOG] [GameLog] ✅ Menu screen hidden
[15:10:29] [LOG] [GameLog] 🚀 Game state is now PLANNING
[15:10:29] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:10:30] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:10:30] [LOG] [GameLog] 🎯 Tap: <BUTTON id="debug-toggle-btn">
[15:10:34] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:10:35] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:10:37] [LOG] [GameLog] 🎯 Tap: <SPAN id="">
[15:10:38] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:10:39] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:10:45] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:10:46] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:10:47] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:10:49] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:11:04] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:11:07] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:11:08] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:11:26] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:11:49] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:11:50] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:11:52] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:11:53] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:12:08] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:12:09] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:12:10] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:12:13] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:12:14] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:12:18] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:18] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:18] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:20] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:20] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:20] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:20] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:20] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:20] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:21] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:21] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:21] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:22] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:22] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:22] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:22] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:22] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:22] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:25] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:25] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:25] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:26] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:12:26] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:12:26] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:12:28] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:12:38] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:12:40] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:12:42] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:12:47] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:12:47] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:12:49] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:12:51] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:12:56] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:12:58] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:13:02] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:13:10] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:13:10] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:13:10] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:13:11] [LOG] [GameLog] 📱 Button touchend: #speed-btn
[15:13:11] [LOG] [GameLog] 🎯 Tap: <BUTTON id="speed-btn">
[15:13:11] [LOG] [GameLog] 🎯 Button click: #speed-btn
[15:13:12] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:13:17] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:13:18] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:13:19] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:13:21] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:13:23] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:13:28] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:13:29] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:13:31] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:13:31] [LOG] [GameLog] 🎯 Tap: <BUTTON id="upgrade-btn">
[15:13:31] [LOG] [GameLog] 🎯 Button click: #upgrade-btn
[15:13:35] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:13:40] [LOG] [GameLog] 📱 Button touchend: #sell-btn
[15:13:45] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:13:46] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:13:51] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:13:53] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:14:04] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:14:05] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:14:07] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:14:09] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:14:09] [LOG] [GameLog] 🎯 Tap: <BUTTON id="upgrade-btn">
[15:14:09] [LOG] [GameLog] 🎯 Button click: #upgrade-btn
[15:14:12] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:14:13] [LOG] [GameLog] 📱 Button touchend: #sell-btn
[15:14:15] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:14:16] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:14:18] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:14:20] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:14:20] [LOG] [GameLog] 🎯 Tap: <BUTTON id="upgrade-btn">
[15:14:20] [LOG] [GameLog] 🎯 Button click: #upgrade-btn
[15:14:25] [LOG] [GameLog] 📱 Button touchend: #close-info-btn
[15:14:27] [LOG] [GameLog] 🎯 Tap: <DIV id="">
[15:14:29] [LOG] [GameLog] 🎯 Tap: <CANVAS id="game-canvas">
[15:14:31] [LOG] [GameLog] 📱 Button touchend: #start-wave-btn
[15:14:33] [LOG] [GameLog] 📱 Button touchend: #upgrade-btn
[15:14:33] [LOG] [GameLog] 🎯 Tap: <BUTTON id="upgrade-btn">
[15:14:33] [LOG] [GameLog] 🎯 Button click: #upgrade-btn
[15:14:43] [LOG] [GameLog] 📱 Button touchend: #replay-btn
[15:14:45] [LOG] [GameLog] 📱 Button touchend: #speed-btn
